label	method	mode
g04_2	direct_eigen	0
g04_2	dp/10	0
g04_2	dp/100	0
g04_2	dp/1000	2
g04_3	direct_eigen	0
g04_3	dp/10	0
g04_3	dp/100	0
g04_3	dp/1000	2
g04_4	direct_eigen	0
g04_4	dp/10	0
g04_4	dp/100	0
g04_4	dp/1000	2
g04_5	direct_eigen	0
g04_5	dp/10	0
g04_5	dp/100	0
g04_5	dp/1000	2
g04_6	direct_eigen	0
g04_6	dp/10	0
g04_6	dp/100	0
g04_6	dp/1000	2
g04_7	direct_eigen	0
g04_7	dp/10	0
g04_7	dp/100	0
g04_7	dp/1000	2
g04_8	direct_eigen	0
g04_8	dp/10	0
g04_8	dp/100	0
g04_8	dp/1000	2
g04_9	direct_eigen	0
g04_9	dp/10	0
g04_9	dp/100	0
g04_9	dp/1000	2
g05_0	direct_eigen	-1
g05_0	dp/10	-1
g05_0	dp/100	-3
g05_0	dp/1000	15
g05_1	direct_eigen	-1
g05_1	dp/10	-1
g05_1	dp/100	-3
g05_1	dp/1000	15
g05_2	direct_eigen	0
g05_2	dp/10	-1
g05_2	dp/100	-3
g05_2	dp/1000	15
g05_3	direct_eigen	0
g05_3	dp/10	-1
g05_3	dp/100	-3
g05_3	dp/1000	15
g05_4	direct_eigen	-1
g05_4	dp/10	-1
g05_4	dp/100	-3
g05_4	dp/1000	15
g05_5	direct_eigen	0
g05_5	dp/10	-1
g05_5	dp/100	-3
g05_5	dp/1000	16
g05_6	direct_eigen	1
g05_6	dp/10	0
g05_6	dp/100	-2
g05_6	dp/1000	16
g05_7	direct_eigen	1
g05_7	dp/10	0
g05_7	dp/100	-2
g05_7	dp/1000	16
g05_8	direct_eigen	0
g05_8	dp/10	-1
g05_8	dp/100	-3
g05_8	dp/1000	15
g05_9	direct_eigen	1
g05_9	dp/10	0
g05_9	dp/100	-2
g05_9	dp/1000	16
g06_0	direct_eigen	1
g06_0	dp/10	0
g06_0	dp/100	-15
g06_0	dp/1000	10
g06_1	direct_eigen	0
g06_1	dp/10	-1
g06_1	dp/100	-16
g06_1	dp/1000	9
g06_2	direct_eigen	0
g06_2	dp/10	-1
g06_2	dp/100	-16
g06_2	dp/1000	9
g06_3	direct_eigen	0
g06_3	dp/10	-1
g06_3	dp/100	-16
g06_3	dp/1000	9
g06_4	direct_eigen	0
g06_4	dp/10	-1
g06_4	dp/100	-16
g06_4	dp/1000	9
g06_5	direct_eigen	0
g06_5	dp/10	-1
g06_5	dp/100	-16
g06_5	dp/1000	9
g06_6	direct_eigen	0
g06_6	dp/10	-1
g06_6	dp/100	-16
g06_6	dp/1000	9
g06_7	direct_eigen	0
g06_7	dp/10	-1
g06_7	dp/100	-16
g06_7	dp/1000	9
g06_8	direct_eigen	0
g06_8	dp/10	-1
g06_8	dp/100	-16
g06_8	dp/1000	9
g06_9	direct_eigen	0
g06_9	dp/10	-1
g06_9	dp/100	-16
g06_9	dp/1000	9
g07_0	direct_eigen	0
g07_0	dp/10	0
g07_0	dp/100	0
g07_0	dp/1000	0
g07_1	direct_eigen	0
g07_1	dp/10	0
g07_1	dp/100	0
g07_1	dp/1000	0
g07_2	direct_eigen	0
g07_2	dp/10	0
g07_2	dp/100	0
g07_2	dp/1000	0
g07_3	direct_eigen	0
g07_3	dp/10	0
g07_3	dp/100	0
g07_3	dp/1000	0
g07_4	direct_eigen	0
g07_4	dp/10	0
g07_4	dp/100	0
g07_4	dp/1000	0
g07_5	direct_eigen	0
g07_5	dp/10	0
g07_5	dp/100	0
g07_5	dp/1000	0
g07_6	direct_eigen	0
g07_6	dp/10	0
g07_6	dp/100	0
g07_6	dp/1000	0
g07_7	direct_eigen	0
g07_7	dp/10	0
g07_7	dp/100	0
g07_7	dp/1000	0
g07_8	direct_eigen	0
g07_8	dp/10	0
g07_8	dp/100	0
g07_8	dp/1000	0
g07_9	direct_eigen	0
g07_9	dp/10	0
g07_9	dp/100	0
g07_9	dp/1000	0
g08_0	direct_eigen	-1
g08_0	dp/10	-1
g08_0	dp/100	-1
g08_0	dp/1000	-1
g08_1	direct_eigen	0
g08_1	dp/10	0
g08_1	dp/100	0
g08_1	dp/1000	0
g08_2	direct_eigen	0
g08_2	dp/10	0
g08_2	dp/100	0
g08_2	dp/1000	0
g08_3	direct_eigen	0
g08_3	dp/10	0
g08_3	dp/100	0
g08_3	dp/1000	0
g08_4	direct_eigen	0
g08_4	dp/10	0
g08_4	dp/100	0
g08_4	dp/1000	0
g08_5	direct_eigen	0
g08_5	dp/10	0
g08_5	dp/100	0
g08_5	dp/1000	0
g08_6	direct_eigen	0
g08_6	dp/10	0
g08_6	dp/100	0
g08_6	dp/1000	0
g08_7	direct_eigen	0
g08_7	dp/10	0
g08_7	dp/100	0
g08_7	dp/1000	0
g08_8	direct_eigen	0
g08_8	dp/10	0
g08_8	dp/100	0
g08_8	dp/1000	0
g08_9	direct_eigen	0
g08_9	dp/10	0
g08_9	dp/100	0
g08_9	dp/1000	0
g09_0	direct_eigen	-1
g09_0	dp/10	-1
g09_0	dp/100	-3
g09_0	dp/1000	-3
g09_1	direct_eigen	0
g09_1	dp/10	0
g09_1	dp/100	-2
g09_1	dp/1000	-2
g09_2	direct_eigen	-1
g09_2	dp/10	-1
g09_2	dp/100	-3
g09_2	dp/1000	-3
g09_3	direct_eigen	0
g09_3	dp/10	0
g09_3	dp/100	-2
g09_3	dp/1000	-2
g09_4	direct_eigen	0
g09_4	dp/10	0
g09_4	dp/100	-2
g09_4	dp/1000	-2
g09_5	direct_eigen	-1
g09_5	dp/10	-1
g09_5	dp/100	-3
g09_5	dp/1000	-3
g09_6	direct_eigen	0
g09_6	dp/10	0
g09_6	dp/100	-2
g09_6	dp/1000	-2
g09_7	direct_eigen	0
g09_7	dp/10	0
g09_7	dp/100	-2
g09_7	dp/1000	-2
g09_8	direct_eigen	0
g09_8	dp/10	0
g09_8	dp/100	-2
g09_8	dp/1000	-2
g09_9	direct_eigen	0
g09_9	dp/10	0
g09_9	dp/100	-2
g09_9	dp/1000	-2
g10_0	direct_eigen	0
g10_0	dp/10	-2
g10_0	dp/100	-2
g10_0	dp/1000	172
g10_1	direct_eigen	0
g10_1	dp/10	-2
g10_1	dp/100	-2
g10_1	dp/1000	172
g10_2	direct_eigen	0
g10_2	dp/10	-2
g10_2	dp/100	-2
g10_2	dp/1000	171
g10_3	direct_eigen	0
g10_3	dp/10	-2
g10_3	dp/100	-2
g10_3	dp/1000	172
g10_4	direct_eigen	0
g10_4	dp/10	-2
g10_4	dp/100	-2
g10_4	dp/1000	174
g10_5	direct_eigen	-1
g10_5	dp/10	-3
g10_5	dp/100	-3
g10_5	dp/1000	170
g10_6	direct_eigen	-1
g10_6	dp/10	-3
g10_6	dp/100	-3
g10_6	dp/1000	171
g10_7	direct_eigen	1
g10_7	dp/10	-1
g10_7	dp/100	-1
g10_7	dp/1000	173
g10_8	direct_eigen	0
g10_8	dp/10	-2
g10_8	dp/100	-2
g10_8	dp/1000	174
g10_9	direct_eigen	0
g10_9	dp/10	-2
g10_9	dp/100	-2
g10_9	dp/1000	173
g11_0	direct_eigen	1
g11_0	dp/10	-217
g11_0	dp/100	-13
g11_0	dp/1000	280
g11_1	direct_eigen	0
g11_1	dp/10	-218
g11_1	dp/100	-14
g11_1	dp/1000	280
g11_2	direct_eigen	2
g11_2	dp/10	-216
g11_2	dp/100	-12
g11_2	dp/1000	282
g11_3	direct_eigen	1
g11_3	dp/10	-217
g11_3	dp/100	-13
g11_3	dp/1000	281
g11_4	direct_eigen	1
g11_4	dp/10	-217
g11_4	dp/100	-13
g11_4	dp/1000	281
g11_5	direct_eigen	0
g11_5	dp/10	-218
g11_5	dp/100	-13
g11_5	dp/1000	279
g11_6	direct_eigen	-2
g11_6	dp/10	-220
g11_6	dp/100	-15
g11_6	dp/1000	278
g11_7	direct_eigen	-2
g11_7	dp/10	-220
g11_7	dp/100	-17
g11_7	dp/1000	278
g11_8	direct_eigen	-3
g11_8	dp/10	-221
g11_8	dp/100	-16
g11_8	dp/1000	277
g11_9	direct_eigen	-5
g11_9	dp/10	-223
g11_9	dp/100	-19
g11_9	dp/1000	274
g12_0	direct_eigen	0
g12_0	dp/10	-500
g12_0	dp/100	-500
g12_0	dp/1000	0
g12_1	direct_eigen	0
g12_1	dp/10	-500
g12_1	dp/100	-500
g12_1	dp/1000	0
g12_2	direct_eigen	0
g12_2	dp/10	-500
g12_2	dp/100	-500
g12_2	dp/1000	0
g12_3	direct_eigen	0
g12_3	dp/10	-500
g12_3	dp/100	-500
g12_3	dp/1000	0
g12_4	direct_eigen	0
g12_4	dp/10	-500
g12_4	dp/100	-500
g12_4	dp/1000	0
g12_5	direct_eigen	0
g12_5	dp/10	-500
g12_5	dp/100	-500
g12_5	dp/1000	0
g12_6	direct_eigen	0
g12_6	dp/10	-500
g12_6	dp/100	-500
g12_6	dp/1000	0
g12_7	direct_eigen	0
g12_7	dp/10	-500
g12_7	dp/100	-500
g12_7	dp/1000	0
g12_8	direct_eigen	0
g12_8	dp/10	-500
g12_8	dp/100	-500
g12_8	dp/1000	0
g12_9	direct_eigen	0
g12_9	dp/10	-500
g12_9	dp/100	-500
g12_9	dp/1000	0
g13_0	direct_eigen	-1
g13_0	dp/10	-1
g13_0	dp/100	-3
g13_0	dp/1000	16
g13_1	direct_eigen	-1
g13_1	dp/10	-1
g13_1	dp/100	-3
g13_1	dp/1000	16
g13_2	direct_eigen	-1
g13_2	dp/10	-1
g13_2	dp/100	-3
g13_2	dp/1000	15
g13_3	direct_eigen	-1
g13_3	dp/10	-1
g13_3	dp/100	-3
g13_3	dp/1000	15
g13_4	direct_eigen	0
g13_4	dp/10	0
g13_4	dp/100	-2
g13_4	dp/1000	16
g13_5	direct_eigen	0
g13_5	dp/10	0
g13_5	dp/100	-2
g13_5	dp/1000	16
g13_6	direct_eigen	-1
g13_6	dp/10	-1
g13_6	dp/100	-3
g13_6	dp/1000	15
g13_7	direct_eigen	-1
g13_7	dp/10	-1
g13_7	dp/100	-3
g13_7	dp/1000	15
g13_8	direct_eigen	0
g13_8	dp/10	0
g13_8	dp/100	-2
g13_8	dp/1000	16
g13_9	direct_eigen	0
g13_9	dp/10	0
g13_9	dp/100	-2
g13_9	dp/1000	16
g14_0	direct_eigen	2
g14_0	dp/10	0
g14_0	dp/100	-22
g14_0	dp/1000	158
g14_1	direct_eigen	0
g14_1	dp/10	-2
g14_1	dp/100	-24
g14_1	dp/1000	156
g14_2	direct_eigen	0
g14_2	dp/10	-2
g14_2	dp/100	-24
g14_2	dp/1000	156
g14_3	direct_eigen	0
g14_3	dp/10	-2
g14_3	dp/100	-24
g14_3	dp/1000	155
g14_4	direct_eigen	0
g14_4	dp/10	-2
g14_4	dp/100	-24
g14_4	dp/1000	155
g14_5	direct_eigen	1
g14_5	dp/10	-1
g14_5	dp/100	-23
g14_5	dp/1000	157
g14_6	direct_eigen	-1
g14_6	dp/10	-3
g14_6	dp/100	-25
g14_6	dp/1000	156
g14_7	direct_eigen	0
g14_7	dp/10	-2
g14_7	dp/100	-24
g14_7	dp/1000	155
g14_8	direct_eigen	-1
g14_8	dp/10	-3
g14_8	dp/100	-25
g14_8	dp/1000	153
g14_9	direct_eigen	1
g14_9	dp/10	-1
g14_9	dp/100	-23
g14_9	dp/1000	157
g15_0	direct_eigen	-2
g15_0	dp/10	-410
g15_0	dp/100	-160
g15_0	dp/1000	90
g15_1	direct_eigen	1
g15_1	dp/10	-407
g15_1	dp/100	-157
g15_1	dp/1000	93
g15_2	direct_eigen	1
g15_2	dp/10	-407
g15_2	dp/100	-157
g15_2	dp/1000	93
g15_3	direct_eigen	3
g15_3	dp/10	-405
g15_3	dp/100	-155
g15_3	dp/1000	95
g15_4	direct_eigen	0
g15_4	dp/10	-408
g15_4	dp/100	-158
g15_4	dp/1000	92
g15_5	direct_eigen	0
g15_5	dp/10	-408
g15_5	dp/100	-158
g15_5	dp/1000	92
g15_6	direct_eigen	0
g15_6	dp/10	-408
g15_6	dp/100	-158
g15_6	dp/1000	92
g15_7	direct_eigen	0
g15_7	dp/10	-408
g15_7	dp/100	-158
g15_7	dp/1000	92
g15_8	direct_eigen	-1
g15_8	dp/10	-409
g15_8	dp/100	-159
g15_8	dp/1000	91
g15_9	direct_eigen	-2
g15_9	dp/10	-410
g15_9	dp/100	-160
g15_9	dp/1000	90
g16_0	direct_eigen	-1
g16_0	dp/10	0
g16_0	dp/100	0
g16_0	dp/1000	0
g16_1	direct_eigen	-1
g16_1	dp/10	0
g16_1	dp/100	0
g16_1	dp/1000	0
g16_2	direct_eigen	-1
g16_2	dp/10	0
g16_2	dp/100	0
g16_2	dp/1000	0
g16_3	direct_eigen	-1
g16_3	dp/10	0
g16_3	dp/100	0
g16_3	dp/1000	0
g16_4	direct_eigen	-1
g16_4	dp/10	0
g16_4	dp/100	0
g16_4	dp/1000	0
g16_5	direct_eigen	-1
g16_5	dp/10	0
g16_5	dp/100	0
g16_5	dp/1000	0
g16_6	direct_eigen	-1
g16_6	dp/10	0
g16_6	dp/100	0
g16_6	dp/1000	0
g16_7	direct_eigen	-1
g16_7	dp/10	0
g16_7	dp/100	0
g16_7	dp/1000	0
g16_8	direct_eigen	-1
g16_8	dp/10	0
g16_8	dp/100	0
g16_8	dp/1000	0
g16_9	direct_eigen	-1
g16_9	dp/10	0
g16_9	dp/100	0
g16_9	dp/1000	0
g17_0	direct_eigen	-1
g17_0	dp/10	0
g17_0	dp/100	-2
g17_0	dp/1000	-6
g17_1	direct_eigen	-1
g17_1	dp/10	0
g17_1	dp/100	-2
g17_1	dp/1000	-7
g17_2	direct_eigen	-1
g17_2	dp/10	0
g17_2	dp/100	-2
g17_2	dp/1000	-7
g17_3	direct_eigen	-1
g17_3	dp/10	0
g17_3	dp/100	-2
g17_3	dp/1000	-7
g17_4	direct_eigen	-2
g17_4	dp/10	-1
g17_4	dp/100	-3
g17_4	dp/1000	-8
g17_5	direct_eigen	-2
g17_5	dp/10	-1
g17_5	dp/100	-3
g17_5	dp/1000	-8
g17_6	direct_eigen	0
g17_6	dp/10	1
g17_6	dp/100	-1
g17_6	dp/1000	-6
g17_7	direct_eigen	0
g17_7	dp/10	1
g17_7	dp/100	-1
g17_7	dp/1000	-5
g17_8	direct_eigen	-1
g17_8	dp/10	0
g17_8	dp/100	-2
g17_8	dp/1000	-7
g17_9	direct_eigen	-2
g17_9	dp/10	-1
g17_9	dp/100	-3
g17_9	dp/1000	-8
g18_0	direct_eigen	1
g18_0	dp/10	-1
g18_0	dp/100	-23
g18_0	dp/1000	-69
g18_1	direct_eigen	0
g18_1	dp/10	-2
g18_1	dp/100	-24
g18_1	dp/1000	-67
g18_2	direct_eigen	1
g18_2	dp/10	-1
g18_2	dp/100	-23
g18_2	dp/1000	-70
g18_3	direct_eigen	1
g18_3	dp/10	-1
g18_3	dp/100	-23
g18_3	dp/1000	-70
g18_4	direct_eigen	-2
g18_4	dp/10	-4
g18_4	dp/100	-26
g18_4	dp/1000	-70
g18_5	direct_eigen	-2
g18_5	dp/10	-4
g18_5	dp/100	-25
g18_5	dp/1000	-71
g18_6	direct_eigen	0
g18_6	dp/10	-2
g18_6	dp/100	-24
g18_6	dp/1000	-67
g18_7	direct_eigen	2
g18_7	dp/10	0
g18_7	dp/100	-21
g18_7	dp/1000	-66
g18_8	direct_eigen	1
g18_8	dp/10	-1
g18_8	dp/100	-23
g18_8	dp/1000	-69
g18_9	direct_eigen	-1
g18_9	dp/10	-3
g18_9	dp/100	-25
g18_9	dp/1000	-70
g19_0	direct_eigen	1
g19_0	dp/10	-132
g19_0	dp/100	-9
g19_0	dp/1000	350
g19_1	direct_eigen	0
g19_1	dp/10	-133
g19_1	dp/100	-11
g19_1	dp/1000	347
g19_2	direct_eigen	-4
g19_2	dp/10	-137
g19_2	dp/100	-14
g19_2	dp/1000	346
g19_3	direct_eigen	-1
g19_3	dp/10	-134
g19_3	dp/100	-11
g19_3	dp/1000	348
g19_4	direct_eigen	-2
g19_4	dp/10	-135
g19_4	dp/100	-12
g19_4	dp/1000	347
g19_5	direct_eigen	0
g19_5	dp/10	-133
g19_5	dp/100	-11
g19_5	dp/1000	353
g19_6	direct_eigen	1
g19_6	dp/10	-132
g19_6	dp/100	-10
g19_6	dp/1000	353
g19_7	direct_eigen	-1
g19_7	dp/10	-134
g19_7	dp/100	-12
g19_7	dp/1000	347
g19_8	direct_eigen	2
g19_8	dp/10	-131
g19_8	dp/100	-8
g19_8	dp/1000	351
g19_9	direct_eigen	1
g19_9	dp/10	-132
g19_9	dp/100	-10
g19_9	dp/1000	349
g20_0	direct_eigen	1
g20_0	dp/10	-1090
g20_0	dp/100	-1090
g20_0	dp/1000	1394
g20_1	direct_eigen	-5
g20_1	dp/10	-1096
g20_1	dp/100	-1096
g20_1	dp/1000	1392
g20_2	direct_eigen	-5
g20_2	dp/10	-1096
g20_2	dp/100	-1096
g20_2	dp/1000	1390
g20_3	direct_eigen	-3
g20_3	dp/10	-1094
g20_3	dp/100	-1094
g20_3	dp/1000	1392
g20_4	direct_eigen	-1
g20_4	dp/10	-1092
g20_4	dp/100	-1092
g20_4	dp/1000	1394
g20_5	direct_eigen	4
g20_5	dp/10	-1087
g20_5	dp/100	-1087
g20_5	dp/1000	1403
g20_6	direct_eigen	-4
g20_6	dp/10	-1095
g20_6	dp/100	-1095
g20_6	dp/1000	1394
g20_7	direct_eigen	-4
g20_7	dp/10	-1095
g20_7	dp/100	-1095
g20_7	dp/1000	1392
g20_8	direct_eigen	-1
g20_8	dp/10	-1092
g20_8	dp/100	-1092
g20_8	dp/1000	1394
g20_9	direct_eigen	1
g20_9	dp/10	-1090
g20_9	dp/100	-1090
g20_9	dp/1000	1398
g21_0	direct_eigen	0
g21_0	dp/10	-2500
g21_0	dp/100	-2500
g21_0	dp/1000	-2500
g21_1	direct_eigen	0
g21_1	dp/10	-2500
g21_1	dp/100	-2500
g21_1	dp/1000	-2500
g21_2	direct_eigen	0
g21_2	dp/10	-2500
g21_2	dp/100	-2500
g21_2	dp/1000	-2500
g21_3	direct_eigen	0
g21_3	dp/10	-2500
g21_3	dp/100	-2500
g21_3	dp/1000	-2500
g21_4	direct_eigen	0
g21_4	dp/10	-2500
g21_4	dp/100	-2500
g21_4	dp/1000	-2500
g21_5	direct_eigen	0
g21_5	dp/10	-2500
g21_5	dp/100	-2500
g21_5	dp/1000	-2500
g21_6	direct_eigen	0
g21_6	dp/10	-2500
g21_6	dp/100	-2500
g21_6	dp/1000	-2500
g21_7	direct_eigen	0
g21_7	dp/10	-2500
g21_7	dp/100	-2500
g21_7	dp/1000	-2500
g21_8	direct_eigen	0
g21_8	dp/10	-2500
g21_8	dp/100	-2500
g21_8	dp/1000	-2500
g21_9	direct_eigen	0
g21_9	dp/10	-2500
g21_9	dp/100	-2500
g21_9	dp/1000	-2500
g22_0	direct_eigen	0
g22_0	dp/10	0
g22_0	dp/100	-12
g22_0	dp/1000	24
g22_1	direct_eigen	0
g22_1	dp/10	0
g22_1	dp/100	-12
g22_1	dp/1000	25
g22_2	direct_eigen	0
g22_2	dp/10	0
g22_2	dp/100	-12
g22_2	dp/1000	25
g22_3	direct_eigen	-1
g22_3	dp/10	-1
g22_3	dp/100	-13
g22_3	dp/1000	24
g22_4	direct_eigen	-1
g22_4	dp/10	-1
g22_4	dp/100	-13
g22_4	dp/1000	24
g22_5	direct_eigen	0
g22_5	dp/10	0
g22_5	dp/100	-12
g22_5	dp/1000	25
g22_6	direct_eigen	0
g22_6	dp/10	0
g22_6	dp/100	-12
g22_6	dp/1000	25
g22_7	direct_eigen	-1
g22_7	dp/10	-1
g22_7	dp/100	-13
g22_7	dp/1000	24
g22_8	direct_eigen	-1
g22_8	dp/10	-1
g22_8	dp/100	-13
g22_8	dp/1000	23
g22_9	direct_eigen	0
g22_9	dp/10	0
g22_9	dp/100	-12
g22_9	dp/1000	24
g23_0	direct_eigen	-2
g23_0	dp/10	-247
g23_0	dp/100	-122
g23_0	dp/1000	234
g23_1	direct_eigen	0
g23_1	dp/10	-245
g23_1	dp/100	-120
g23_1	dp/1000	237
g23_2	direct_eigen	1
g23_2	dp/10	-244
g23_2	dp/100	-119
g23_2	dp/1000	238
g23_3	direct_eigen	-1
g23_3	dp/10	-246
g23_3	dp/100	-121
g23_3	dp/1000	237
g23_4	direct_eigen	-2
g23_4	dp/10	-247
g23_4	dp/100	-122
g23_4	dp/1000	235
g23_5	direct_eigen	-4
g23_5	dp/10	-249
g23_5	dp/100	-124
g23_5	dp/1000	234
g23_6	direct_eigen	0
g23_6	dp/10	-245
g23_6	dp/100	-120
g23_6	dp/1000	238
g23_7	direct_eigen	-1
g23_7	dp/10	-246
g23_7	dp/100	-121
g23_7	dp/1000	234
g23_8	direct_eigen	3
g23_8	dp/10	-242
g23_8	dp/100	-117
g23_8	dp/1000	241
g23_9	direct_eigen	-4
g23_9	dp/10	-249
g23_9	dp/100	-124
g23_9	dp/1000	235
g24_0	direct_eigen	0
g24_0	dp/10	-2038
g24_0	dp/100	-2038
g24_0	dp/1000	462
g24_1	direct_eigen	-2
g24_1	dp/10	-2040
g24_1	dp/100	-2040
g24_1	dp/1000	460
g24_2	direct_eigen	0
g24_2	dp/10	-2038
g24_2	dp/100	-2038
g24_2	dp/1000	462
g24_3	direct_eigen	2
g24_3	dp/10	-2036
g24_3	dp/100	-2036
g24_3	dp/1000	464
g24_4	direct_eigen	0
g24_4	dp/10	-2038
g24_4	dp/100	-2038
g24_4	dp/1000	462
g24_5	direct_eigen	-4
g24_5	dp/10	-2042
g24_5	dp/100	-2042
g24_5	dp/1000	458
g24_6	direct_eigen	1
g24_6	dp/10	-2037
g24_6	dp/100	-2037
g24_6	dp/1000	463
g24_7	direct_eigen	-3
g24_7	dp/10	-2041
g24_7	dp/100	-2041
g24_7	dp/1000	459
g24_8	direct_eigen	3
g24_8	dp/10	-2035
g24_8	dp/100	-2035
g24_8	dp/1000	465
g24_9	direct_eigen	7
g24_9	dp/10	-2031
g24_9	dp/100	-2031
g24_9	dp/1000	469
g25_0	direct_eigen	-4
g25_0	dp/10	1
g25_0	dp/100	-1
g25_0	dp/1000	-8
g25_1	direct_eigen	-4
g25_1	dp/10	1
g25_1	dp/100	-1
g25_1	dp/1000	-8
g25_2	direct_eigen	-5
g25_2	dp/10	0
g25_2	dp/100	-2
g25_2	dp/1000	-9
g25_3	direct_eigen	-5
g25_3	dp/10	0
g25_3	dp/100	-2
g25_3	dp/1000	-9
g25_4	direct_eigen	-5
g25_4	dp/10	0
g25_4	dp/100	-2
g25_4	dp/1000	-9
g25_5	direct_eigen	-5
g25_5	dp/10	0
g25_5	dp/100	-2
g25_5	dp/1000	-9
g25_6	direct_eigen	-4
g25_6	dp/10	1
g25_6	dp/100	-1
g25_6	dp/1000	-8
g25_7	direct_eigen	-5
g25_7	dp/10	0
g25_7	dp/100	-2
g25_7	dp/1000	-9
g25_8	direct_eigen	-5
g25_8	dp/10	0
g25_8	dp/100	-2
g25_8	dp/1000	-9
g25_9	direct_eigen	-4
g25_9	dp/10	1
g25_9	dp/100	-1
g25_9	dp/1000	-8
g26_0	direct_eigen	-4
g26_0	dp/10	-2
g26_0	dp/100	-13
g26_0	dp/1000	-89
g26_1	direct_eigen	0
g26_1	dp/10	2
g26_1	dp/100	-9
g26_1	dp/1000	-85
g26_2	direct_eigen	0
g26_2	dp/10	2
g26_2	dp/100	-9
g26_2	dp/1000	-86
g26_3	direct_eigen	-3
g26_3	dp/10	-1
g26_3	dp/100	-12
g26_3	dp/1000	-88
g26_4	direct_eigen	-6
g26_4	dp/10	-4
g26_4	dp/100	-15
g26_4	dp/1000	-91
g26_5	direct_eigen	-3
g26_5	dp/10	-1
g26_5	dp/100	-12
g26_5	dp/1000	-89
g26_6	direct_eigen	-2
g26_6	dp/10	0
g26_6	dp/100	-11
g26_6	dp/1000	-87
g26_7	direct_eigen	-4
g26_7	dp/10	-2
g26_7	dp/100	-13
g26_7	dp/1000	-89
g26_8	direct_eigen	-4
g26_8	dp/10	-2
g26_8	dp/100	-13
g26_8	dp/1000	-90
g26_9	direct_eigen	-3
g26_9	dp/10	-1
g26_9	dp/100	-12
g26_9	dp/1000	-88
g27_0	direct_eigen	-2
g27_0	dp/10	-1369
g27_0	dp/100	-120
g27_0	dp/1000	-887
g27_1	direct_eigen	1
g27_1	dp/10	-1366
g27_1	dp/100	-116
g27_1	dp/1000	-886
g27_2	direct_eigen	-4
