label	method	t	mem
GI1.lex-smallest.exon!inclusive.gain	direct_eigen	4352.17	158808.0
phen.lex-smallest.intron!inclusive.gain	direct_eigen	9454.76	169804.0
ISCA-gain.all.exon!inclusive.gain	direct_eigen	2.67	138940.0
CGD-rec.lex-smallest.cds!inclusive.gain	direct_eigen	5.32	138052.0
HI3.all.trans!inclusive.gain	direct_eigen	108.47	146264.0
CGD-rec.lex-smallest.trans!inclusive.gain	direct_eigen	4.81	138096.0
HPO-dom.all.cds!inclusive.gain	direct_eigen	3.33	138680.0
Non-cod.all.trans!inclusive.gain	direct_eigen	16.91	138376.0
Paralogs.all.exon!inclusive.gain	direct_eigen	18.83	141120.0
HPO-rec.all.trans!inclusive.gain	direct_eigen	5.53	138988.0
Cancer-gain.lex-smallest.intron!inclusive.gain	direct_eigen	1.44	137160.0
GI2.lex-smallest.cds!inclusive.gain	direct_eigen	25.03	139128.0
Decipher-loss.lex-smallest.intron!inclusive.gain	direct_eigen	2.26	137960.0
Prot-cod.all.trans!inclusive.gain	direct_eigen	366.12	155848.0
GI3.lex-smallest.trans!inclusive.gain	direct_eigen	120.98	141204.0
Decipher-loss.lex-smallest.cds!inclusive.gain	direct_eigen	1.82	138064.0
GI3.all.cds!inclusive.gain	direct_eigen	119.33	145360.0
HPO-rec.lex-smallest.exon!inclusive.gain	direct_eigen	374.63	143908.0
All-genes.all.exon!inclusive.gain	direct_eigen	58517.74	365736.0
Prot-cod.lex-smallest.trans!inclusive.gain	direct_eigen	380.93	144096.0
HI3.lex-smallest.intron!inclusive.gain	direct_eigen	8242.67	167016.0
embryonic-lethal.all.trans!inclusive.gain	direct_eigen	1.71	138192.0
GI2.all.trans!inclusive.gain	direct_eigen	27.33	142228.0
All-genes.all.cds!inclusive.gain	direct_eigen	410.71	154168.0
HI2.all.exon!inclusive.gain	direct_eigen	3075.83	188852.0
CGD-dom.all.cds!inclusive.gain	direct_eigen	2.7	138096.0
HPO-dom.all.intron!inclusive.gain	direct_eigen	234.78	153432.0
ISCA-loss.all.trans!inclusive.gain	direct_eigen	2.66	137116.0
Cancer-gain.all.trans!inclusive.gain	direct_eigen	1.08	137908.0
No-phen.all.trans!inclusive.gain	direct_eigen	129.42	146816.0
Cancer-loss.all.trans!inclusive.gain	direct_eigen	1.81	137904.0
Prot-cod.lex-smallest.cds!inclusive.gain	direct_eigen	388.34	144276.0
Cancer-loss.lex-smallest.exon!inclusive.gain	direct_eigen	68.91	140268.0
phen.all.trans!inclusive.gain	direct_eigen	87.06	146440.0
CGD-rec.all.trans!inclusive.gain	direct_eigen	5.35	138664.0
Essential.lex-smallest.trans!inclusive.gain	direct_eigen	11.84	137948.0
GI3.all.exon!inclusive.gain	direct_eigen	9837.44	219572.0
CGD-rec.all.intron!inclusive.gain	direct_eigen	465.61	156412.0
ISCA-loss.lex-smallest.intron!inclusive.gain	direct_eigen	41.13	138100.0
HI2.all.intron!inclusive.gain	direct_eigen	2172.04	185000.0
ISCA-gain.lex-smallest.trans!inclusive.gain	direct_eigen	1.29	137892.0
CGD-rec.lex-smallest.exon!inclusive.gain	direct_eigen	457.02	144228.0
Decipher-gain.all.trans!inclusive.gain	direct_eigen	1.2	137356.0
Essential.all.intron!inclusive.gain	direct_eigen	1821.41	183600.0
Essential.all.trans!inclusive.gain	direct_eigen	14.18	140764.0
GI1.lex-smallest.cds!inclusive.gain	direct_eigen	18.12	138748.0
HI3.lex-smallest.cds!inclusive.gain	direct_eigen	112.38	141024.0
GI3.lex-smallest.exon!inclusive.gain	direct_eigen	7397.75	165304.0
HPO-dom.lex-smallest.cds!inclusive.gain	direct_eigen	3.17	138200.0
Curated-gain.all.trans!inclusive.gain	direct_eigen	1.28	138340.0
Decipher-gain.lex-smallest.trans!inclusive.gain	direct_eigen	1.11	137648.0
Cancer-loss.lex-smallest.trans!inclusive.gain	direct_eigen	1.68	137720.0
GI3.lex-smallest.cds!inclusive.gain	direct_eigen	106.01	140752.0
Decipher-gain.lex-smallest.intron!inclusive.gain	direct_eigen	1.44	137308.0
HI2.lex-smallest.cds!inclusive.gain	direct_eigen	22.83	138536.0
Curated-gain.all.intron!inclusive.gain	direct_eigen	17.79	140688.0
HI1.lex-smallest.exon!inclusive.gain	direct_eigen	2661.27	154468.0
CGD-dom.all.exon!inclusive.gain	direct_eigen	254.86	153380.0
OMIM.lex-smallest.cds!inclusive.gain	direct_eigen	16.62	138864.0
phen.lex-smallest.cds!inclusive.gain	direct_eigen	84.87	140428.0
Cancer-gain.lex-smallest.exon!inclusive.gain	direct_eigen	1.36	137936.0
CGD-dom.lex-smallest.trans!inclusive.gain	direct_eigen	2.58	138344.0
HI1.lex-smallest.cds!inclusive.gain	direct_eigen	20.21	139208.0
Curated-loss.lex-smallest.intron!inclusive.gain	direct_eigen	157.44	141324.0
Cancer-loss.all.exon!inclusive.gain	direct_eigen	95.58	147868.0
Decipher-gain.all.intron!inclusive.gain	direct_eigen	1.2	137344.0
HI2.all.cds!inclusive.gain	direct_eigen	21.81	141164.0
Cancer-loss.all.cds!inclusive.gain	direct_eigen	1.86	138520.0
HPO-rec.lex-smallest.cds!inclusive.gain	direct_eigen	4.64	137396.0
ISCA-loss.all.exon!inclusive.gain	direct_eigen	65.43	143588.0
Cancer-gain.all.exon!inclusive.gain	direct_eigen	1.43	138028.0
Cancer-gain.all.cds!inclusive.gain	direct_eigen	1.15	137760.0
Essential.all.cds!inclusive.gain	direct_eigen	13.53	140588.0
Prot-cod.all.cds!inclusive.gain	direct_eigen	412.02	154412.0
OMIM.all.exon!inclusive.gain	direct_eigen	2984.53	187908.0
phen.all.cds!inclusive.gain	direct_eigen	90.24	146028.0
OMIM.lex-smallest.intron!inclusive.gain	direct_eigen	1874.31	151048.0
Paralogs.lex-smallest.intron!inclusive.gain	direct_eigen	11.31	138428.0
No-phen.lex-smallest.cds!inclusive.gain	direct_eigen	128.36	141324.0
GI1.all.trans!inclusive.gain	direct_eigen	18.42	142040.0
GI2.all.exon!inclusive.gain	direct_eigen	2730.39	188528.0
Cancer-loss.lex-smallest.cds!inclusive.gain	direct_eigen	1.91	136936.0
HPO-dom.lex-smallest.exon!inclusive.gain	direct_eigen	254.5	142816.0
GI3.all.trans!inclusive.gain	direct_eigen	108.55	145772.0
Essential.all.exon!inclusive.gain	direct_eigen	2558.48	186456.0
HPO-dom.all.trans!inclusive.gain	direct_eigen	4.16	138952.0
Non-cod.lex-smallest.exon!inclusive.gain	direct_eigen	119.55	141280.0
Curated-gain.lex-smallest.cds!inclusive.gain	direct_eigen	1.36	137968.0
Paralogs.all.cds!inclusive.gain	direct_eigen	1.81	137188.0
HPO-rec.all.cds!inclusive.gain	direct_eigen	5.69	138956.0
ISCA-loss.all.intron!inclusive.gain	direct_eigen	52.05	143352.0
GI2.all.intron!inclusive.gain	direct_eigen	1737.96	184400.0
Curated-gain.lex-smallest.intron!inclusive.gain	direct_eigen	15.21	138848.0
Prot-cod.lex-smallest.intron!inclusive.gain	direct_eigen	35768.54	199852.0
OMIM.all.cds!inclusive.gain	direct_eigen	16.8	141144.0
GI2.lex-smallest.exon!inclusive.gain	direct_eigen	2008.02	152236.0
Non-cod.lex-smallest.cds!inclusive.gain	direct_eigen	1.29	137780.0
ISCA-gain.lex-smallest.intron!inclusive.gain	direct_eigen	2.23	137824.0
HI1.all.trans!inclusive.gain	direct_eigen	21.39	142100.0
GI1.lex-smallest.intron!inclusive.gain	direct_eigen	3890.11	157920.0
All-genes.lex-smallest.exon!inclusive.gain	direct_eigen	46043.7	209720.0
Paralogs.all.trans!inclusive.gain	direct_eigen	1.74	137324.0
All-genes.lex-smallest.cds!inclusive.gain	direct_eigen	386.5	144312.0
OMIM.lex-smallest.trans!inclusive.gain	direct_eigen	15.61	138532.0
HI2.lex-smallest.trans!inclusive.gain	direct_eigen	20.78	138024.0
No-phen.all.cds!inclusive.gain	direct_eigen	142.01	146000.0
Non-cod.lex-smallest.trans!inclusive.gain	direct_eigen	18.5	138940.0
phen.all.exon!inclusive.gain	direct_eigen	15991.3	258880.0
embryonic-lethal.lex-smallest.exon!inclusive.gain	direct_eigen	60.38	139212.0
Essential.lex-smallest.cds!inclusive.gain	direct_eigen	16.26	137772.0
HI3.all.exon!inclusive.gain	direct_eigen	13024.31	230092.0
embryonic-lethal.all.intron!inclusive.gain	direct_eigen	58.5	143744.0
HPO-dom.all.exon!inclusive.gain	direct_eigen	350.6	155180.0
Decipher-loss.lex-smallest.trans!inclusive.gain	direct_eigen	1.2	137980.0
GI2.lex-smallest.intron!inclusive.gain	direct_eigen	1731.57	150556.0
phen.lex-smallest.trans!inclusive.gain	direct_eigen	80.21	140076.0
No-phen.all.exon!inclusive.gain	direct_eigen	14252.25	240380.0
GI3.all.intron!inclusive.gain	direct_eigen	6361.12	212368.0
Decipher-loss.all.trans!inclusive.gain	direct_eigen	1.49	137328.0
Non-cod.all.intron!inclusive.gain	direct_eigen	50.42	140256.0
HI1.lex-smallest.intron!inclusive.gain	direct_eigen	2214.51	153568.0
ISCA-gain.lex-smallest.exon!inclusive.gain	direct_eigen	2.24	137264.0
HPO-dom.lex-smallest.trans!inclusive.gain	direct_eigen	3.17	138228.0
GI1.all.intron!inclusive.gain	direct_eigen	4339.39	211312.0
HI1.all.intron!inclusive.gain	direct_eigen	2476.26	197776.0
GI2.lex-smallest.trans!inclusive.gain	direct_eigen	23.72	139004.0
Non-cod.lex-smallest.intron!inclusive.gain	direct_eigen	48.28	139792.0
GI1.all.exon!inclusive.gain	direct_eigen	5691.13	215688.0
Decipher-loss.all.intron!inclusive.gain	direct_eigen	2.44	137776.0
HPO-rec.all.exon!inclusive.gain	direct_eigen	543.26	155696.0
ISCA-loss.lex-smallest.exon!inclusive.gain	direct_eigen	49.24	138904.0
Prot-cod.all.intron!inclusive.gain	direct_eigen	35551.22	342144.0
CGD-dom.lex-smallest.intron!inclusive.gain	direct_eigen	145.77	141056.0
Essential.lex-smallest.exon!inclusive.gain	direct_eigen	1820.86	151648.0
OMIM.all.trans!inclusive.gain	direct_eigen	19.8	141080.0
Prot-cod.all.exon!inclusive.gain	direct_eigen	53838.33	360984.0
Decipher-gain.all.cds!inclusive.gain	direct_eigen	1.28	138048.0
GI1.lex-smallest.trans!inclusive.gain	direct_eigen	18.77	137908.0
ISCA-gain.all.cds!inclusive.gain	direct_eigen	1.34	137952.0
HI3.lex-smallest.exon!inclusive.gain	direct_eigen	9275.21	169784.0
CGD-rec.all.exon!inclusive.gain	direct_eigen	722.86	158140.0
HI3.all.cds!inclusive.gain	direct_eigen	124.74	144520.0
.snakemake_times!inclusive.gain	direct_eigen	1.61	137036.0
All-genes.all.intron!inclusive.gain	direct_eigen	39849.23	345132.0
HI3.all.intron!inclusive.gain	direct_eigen	7990.3	221644.0
HPO-rec.all.intron!inclusive.gain	direct_eigen	357.38	154376.0
Curated-gain.lex-smallest.exon!inclusive.gain	direct_eigen	17.7	138460.0
embryonic-lethal.all.exon!inclusive.gain	direct_eigen	68.98	143684.0
OMIM.all.intron!inclusive.gain	direct_eigen	2099.92	183888.0
Curated-loss.all.trans!inclusive.gain	direct_eigen	3.05	138152.0
Curated-loss.lex-smallest.trans!inclusive.gain	direct_eigen	2.87	138232.0
Decipher-gain.lex-smallest.cds!inclusive.gain	direct_eigen	1.18	137208.0
All-genes.lex-smallest.intron!inclusive.gain	direct_eigen	36558.77	201896.0
ISCA-gain.all.trans!inclusive.gain	direct_eigen	1.09	137844.0
Cancer-gain.lex-smallest.cds!inclusive.gain	direct_eigen	1.18	138016.0
embryonic-lethal.lex-smallest.cds!inclusive.gain	direct_eigen	1.72	137272.0
Paralogs.lex-smallest.exon!inclusive.gain	direct_eigen	13.96	138952.0
Curated-gain.lex-smallest.trans!inclusive.gain	direct_eigen	1.58	137556.0
embryonic-lethal.all.cds!inclusive.gain	direct_eigen	1.62	138128.0
CGD-dom.lex-smallest.exon!inclusive.gain	direct_eigen	171.23	141624.0
ISCA-gain.lex-smallest.cds!inclusive.gain	direct_eigen	1.22	137340.0
CGD-dom.all.intron!inclusive.gain	direct_eigen	171.7	152476.0
CGD-rec.all.cds!stringent.gain	direct_eigen	5.13	138908.0
Prot-cod.lex-smallest.exon!stringent.gain	direct_eigen	39429.47	206292.0
OMIM.lex-smallest.exon!stringent.gain	direct_eigen	2234.38	152288.0
All-genes.lex-smallest.trans!stringent.gain	direct_eigen	441.91	144908.0
Decipher-gain.all.exon!stringent.gain	direct_eigen	1.32	137396.0
HI1.lex-smallest.trans!stringent.gain	direct_eigen	19.94	138860.0
embryonic-lethal.lex-smallest.intron!stringent.gain	direct_eigen	47.17	139688.0
CGD-dom.all.trans!stringent.gain	direct_eigen	3.08	138312.0
Essential.lex-smallest.intron!stringent.gain	direct_eigen	1556.92	150360.0
phen.all.intron!stringent.gain	direct_eigen	11065.66	249420.0
Curated-loss.lex-smallest.cds!stringent.gain	direct_eigen	2.75	137092.0
Paralogs.lex-smallest.cds!stringent.gain	direct_eigen	1.57	136676.0
Decipher-loss.all.exon!stringent.gain	direct_eigen	2.73	137820.0
HI2.lex-smallest.intron!stringent.gain	direct_eigen	1940.98	151812.0
HI2.lex-smallest.exon!stringent.gain	direct_eigen	2352.42	153032.0
Curated-loss.all.cds!stringent.gain	direct_eigen	3.44	138392.0
HI1.all.exon!stringent.gain	direct_eigen	3637.85	202176.0
No-phen.lex-smallest.trans!stringent.gain	direct_eigen	124.79	141208.0
Paralogs.lex-smallest.trans!stringent.gain	direct_eigen	1.51	137328.0
Curated-loss.all.intron!stringent.gain	direct_eigen	170.13	151580.0
GI2.all.cds!stringent.gain	direct_eigen	26.17	141400.0
HI2.all.trans!stringent.gain	direct_eigen	21.26	140968.0
phen.lex-smallest.exon!stringent.gain	direct_eigen	11443.61	172756.0
GI3.lex-smallest.intron!stringent.gain	direct_eigen	5746.15	161028.0
HPO-dom.lex-smallest.intron!stringent.gain	direct_eigen	211.91	141728.0
HPO-rec.lex-smallest.trans!stringent.gain	direct_eigen	3.96	136704.0
CGD-dom.lex-smallest.cds!stringent.gain	direct_eigen	2.95	137764.0
Curated-loss.all.exon!stringent.gain	direct_eigen	246.71	152972.0
Curated-gain.all.cds!stringent.gain	direct_eigen	1.61	137756.0
ISCA-loss.lex-smallest.trans!stringent.gain	direct_eigen	1.74	137596.0
HI3.lex-smallest.trans!stringent.gain	direct_eigen	104.59	140136.0
Non-cod.all.cds!stringent.gain	direct_eigen	1.3	136740.0
Paralogs.all.intron!stringent.gain	direct_eigen	15.1	140444.0
Curated-gain.all.exon!stringent.gain	direct_eigen	23.09	141760.0
Cancer-loss.lex-smallest.intron!stringent.gain	direct_eigen	59.71	139108.0
CGD-rec.lex-smallest.intron!stringent.gain	direct_eigen	390.36	144288.0
Cancer-gain.lex-smallest.trans!stringent.gain	direct_eigen	1.67	136948.0
No-phen.lex-smallest.intron!stringent.gain	direct_eigen	8377.8	167620.0
Decipher-loss.lex-smallest.exon!stringent.gain	direct_eigen	2.03	137760.0
ISCA-gain.all.intron!stringent.gain	direct_eigen	2.47	138232.0
GI1.all.cds!stringent.gain	direct_eigen	19.32	140520.0
Cancer-loss.all.intron!stringent.gain	direct_eigen	69.02	145840.0
No-phen.all.intron!stringent.gain	direct_eigen	8810.24	229336.0
Decipher-loss.all.cds!stringent.gain	direct_eigen	1.2	137308.0
ISCA-loss.lex-smallest.cds!stringent.gain	direct_eigen	1.5	136588.0
HI1.all.cds!stringent.gain	direct_eigen	21.67	141456.0
ISCA-loss.all.cds!stringent.gain	direct_eigen	1.62	137588.0
Curated-loss.lex-smallest.exon!stringent.gain	direct_eigen	173.38	141032.0
embryonic-lethal.lex-smallest.trans!stringent.gain	direct_eigen	1.52	137156.0
All-genes.all.trans!stringent.gain	direct_eigen	449.08	157400.0
Decipher-gain.lex-smallest.exon!stringent.gain	direct_eigen	1.23	137532.0
Cancer-gain.all.intron!stringent.gain	direct_eigen	1.28	137152.0
HPO-rec.lex-smallest.intron!stringent.gain	direct_eigen	315.02	142476.0
Non-cod.all.exon!stringent.gain	direct_eigen	126.9	141308.0
No-phen.lex-smallest.exon!stringent.gain	direct_eigen	10525.13	171332.0
GI1.lex-smallest.exon!stringent.gain	direct_eigen	4348.71	159300.0
phen.lex-smallest.intron!stringent.gain	direct_eigen	9606.65	169756.0
ISCA-gain.all.exon!stringent.gain	direct_eigen	4.17	138404.0
CGD-rec.lex-smallest.cds!stringent.gain	direct_eigen	4.73	137988.0
HI3.all.trans!stringent.gain	direct_eigen	113.58	146060.0
CGD-rec.lex-smallest.trans!stringent.gain	direct_eigen	4.54	137660.0
HPO-dom.all.cds!stringent.gain	direct_eigen	3.32	137564.0
Non-cod.all.trans!stringent.gain	direct_eigen	16.74	138808.0
Paralogs.all.exon!stringent.gain	direct_eigen	17.0	140796.0
HPO-rec.all.trans!stringent.gain	direct_eigen	5.7	138616.0
Cancer-gain.lex-smallest.intron!stringent.gain	direct_eigen	1.39	137096.0
GI2.lex-smallest.cds!stringent.gain	direct_eigen	24.03	138708.0
Decipher-loss.lex-smallest.intron!stringent.gain	direct_eigen	2.08	137676.0
Prot-cod.all.trans!stringent.gain	direct_eigen	371.81	156012.0
GI3.lex-smallest.trans!stringent.gain	direct_eigen	102.89	140496.0
Decipher-loss.lex-smallest.cds!stringent.gain	direct_eigen	1.39	136588.0
GI3.all.cds!stringent.gain	direct_eigen	108.55	144120.0
HPO-rec.lex-smallest.exon!stringent.gain	direct_eigen	365.26	143484.0
All-genes.all.exon!stringent.gain	direct_eigen	57132.01	364868.0
Prot-cod.lex-smallest.trans!stringent.gain	direct_eigen	351.44	143476.0
HI3.lex-smallest.intron!stringent.gain	direct_eigen	7404.11	166060.0
embryonic-lethal.all.trans!stringent.gain	direct_eigen	1.79	137688.0
GI2.all.trans!stringent.gain	direct_eigen	27.52	142028.0
All-genes.all.cds!stringent.gain	direct_eigen	405.26	154000.0
HI2.all.exon!stringent.gain	direct_eigen	3154.2	188352.0
CGD-dom.all.cds!stringent.gain	direct_eigen	2.63	137868.0
HPO-dom.all.intron!stringent.gain	direct_eigen	233.73	153424.0
ISCA-loss.all.trans!stringent.gain	direct_eigen	2.61	137552.0
Cancer-gain.all.trans!stringent.gain	direct_eigen	1.61	137460.0
No-phen.all.trans!stringent.gain	direct_eigen	137.33	146480.0
Cancer-loss.all.trans!stringent.gain	direct_eigen	3.78	137864.0
Prot-cod.lex-smallest.cds!stringent.gain	direct_eigen	428.77	144320.0
Cancer-loss.lex-smallest.exon!stringent.gain	direct_eigen	76.55	139740.0
phen.all.trans!stringent.gain	direct_eigen	100.08	146304.0
CGD-rec.all.trans!stringent.gain	direct_eigen	5.41	138900.0
Essential.lex-smallest.trans!stringent.gain	direct_eigen	13.58	137592.0
GI3.all.exon!stringent.gain	direct_eigen	10273.44	218300.0
CGD-rec.all.intron!stringent.gain	direct_eigen	463.96	155820.0
ISCA-loss.lex-smallest.intron!stringent.gain	direct_eigen	41.77	138168.0
HI2.all.intron!stringent.gain	direct_eigen	2140.15	184408.0
ISCA-gain.lex-smallest.trans!stringent.gain	direct_eigen	1.2	137172.0
CGD-rec.lex-smallest.exon!stringent.gain	direct_eigen	465.8	144120.0
Decipher-gain.all.trans!stringent.gain	direct_eigen	1.22	137484.0
Essential.all.intron!stringent.gain	direct_eigen	1802.19	182272.0
Essential.all.trans!stringent.gain	direct_eigen	13.22	140708.0
GI1.lex-smallest.cds!stringent.gain	direct_eigen	17.52	138392.0
HI3.lex-smallest.cds!stringent.gain	direct_eigen	108.5	139952.0
GI3.lex-smallest.exon!stringent.gain	direct_eigen	7078.37	165480.0
HPO-dom.lex-smallest.cds!stringent.gain	direct_eigen	3.32	137024.0
Curated-gain.all.trans!stringent.gain	direct_eigen	1.62	137752.0
Decipher-gain.lex-smallest.trans!stringent.gain	direct_eigen	1.19	136404.0
Cancer-loss.lex-smallest.trans!stringent.gain	direct_eigen	1.94	137380.0
GI3.lex-smallest.cds!stringent.gain	direct_eigen	108.16	140228.0
Decipher-gain.lex-smallest.intron!stringent.gain	direct_eigen	1.17	137044.0
HI2.lex-smallest.cds!stringent.gain	direct_eigen	21.37	138236.0
Curated-gain.all.intron!stringent.gain	direct_eigen	18.75	140608.0
HI1.lex-smallest.exon!stringent.gain	direct_eigen	2650.45	154348.0
CGD-dom.all.exon!stringent.gain	direct_eigen	244.82	153008.0
OMIM.lex-smallest.cds!stringent.gain	direct_eigen	16.07	138244.0
phen.lex-smallest.cds!stringent.gain	direct_eigen	89.44	140404.0
Cancer-gain.lex-smallest.exon!stringent.gain	direct_eigen	1.41	137268.0
CGD-dom.lex-smallest.trans!stringent.gain	direct_eigen	2.8	137708.0
HI1.lex-smallest.cds!stringent.gain	direct_eigen	19.85	138016.0
Curated-loss.lex-smallest.intron!stringent.gain	direct_eigen	153.55	140964.0
Cancer-loss.all.exon!stringent.gain	direct_eigen	101.25	146780.0
Decipher-gain.all.intron!stringent.gain	direct_eigen	1.33	136408.0
HI2.all.cds!stringent.gain	direct_eigen	21.79	140880.0
Cancer-loss.all.cds!stringent.gain	direct_eigen	2.13	137300.0
HPO-rec.lex-smallest.cds!stringent.gain	direct_eigen	4.89	137948.0
ISCA-loss.all.exon!stringent.gain	direct_eigen	67.45	143128.0
Cancer-gain.all.exon!stringent.gain	direct_eigen	1.89	137808.0
Cancer-gain.all.cds!stringent.gain	direct_eigen	1.94	136912.0
Essential.all.cds!stringent.gain	direct_eigen	14.27	140592.0
Prot-cod.all.cds!stringent.gain	direct_eigen	417.05	154008.0
OMIM.all.exon!stringent.gain	direct_eigen	3245.44	187112.0
phen.all.cds!stringent.gain	direct_eigen	103.67	144864.0
OMIM.lex-smallest.intron!stringent.gain	direct_eigen	1911.7	151276.0
Paralogs.lex-smallest.intron!stringent.gain	direct_eigen	10.97	137628.0
No-phen.lex-smallest.cds!stringent.gain	direct_eigen	130.98	140816.0
GI1.all.trans!stringent.gain	direct_eigen	19.32	141508.0
GI2.all.exon!stringent.gain	direct_eigen	2700.99	188956.0
Cancer-loss.lex-smallest.cds!stringent.gain	direct_eigen	2.24	137608.0
HPO-dom.lex-smallest.exon!stringent.gain	direct_eigen	242.53	141280.0
GI3.all.trans!stringent.gain	direct_eigen	106.19	145056.0
Essential.all.exon!stringent.gain	direct_eigen	2597.29	185840.0
HPO-dom.all.trans!stringent.gain	direct_eigen	3.73	138200.0
Non-cod.lex-smallest.exon!stringent.gain	direct_eigen	119.31	140928.0
Curated-gain.lex-smallest.cds!stringent.gain	direct_eigen	1.86	137092.0
Paralogs.all.cds!stringent.gain	direct_eigen	2.0	137584.0
HPO-rec.all.cds!stringent.gain	direct_eigen	5.46	137928.0
ISCA-loss.all.intron!stringent.gain	direct_eigen	49.4	142380.0
GI2.all.intron!stringent.gain	direct_eigen	1916.1	183584.0
Curated-gain.lex-smallest.intron!stringent.gain	direct_eigen	16.56	138456.0
Prot-cod.lex-smallest.intron!stringent.gain	direct_eigen	35248.07	199212.0
OMIM.all.cds!stringent.gain	direct_eigen	19.15	140864.0
GI2.lex-smallest.exon!stringent.gain	direct_eigen	1966.35	152024.0
Non-cod.lex-smallest.cds!stringent.gain	direct_eigen	2.54	137064.0
ISCA-gain.lex-smallest.intron!stringent.gain	direct_eigen	2.22	137384.0
HI1.all.trans!stringent.gain	direct_eigen	22.01	141592.0
GI1.lex-smallest.intron!stringent.gain	direct_eigen	4014.01	158184.0
All-genes.lex-smallest.exon!stringent.gain	direct_eigen	45644.0	209440.0
Paralogs.all.trans!stringent.gain	direct_eigen	2.76	136736.0
